wavenumber(cm-1),absorbance
200.5638,0.6267167166666666
201.0459,0.6252784
201.528,0.6238830999999999
202.0101,0.62253755
202.4923,0.6212575
202.9744,0.620066
203.4565,0.6189848666666666
203.9386,0.61801625
204.4208,0.6171279666666667
204.9029,0.6162484333333335
205.385,0.615281
205.8671,0.6141362333333333
206.3493,0.6127745666666667
206.8314,0.6112390833333333
207.3135,0.6096645166666667
207.7956,0.6082431333333332
208.2778,0.6071573333333333
208.7599,0.6064966666666666
209.242,0.6061993666666666
209.7241,0.6060452000000001
210.2063,0.6057114833333334
210.6884,0.6048724666666665
211.1705,0.6033112166666666
211.6526,0.6009948333333334
212.1348,0.5980848666666666
212.6169,0.5948757499999999
213.099,0.5916904333333334
213.5811,0.58877705
214.0633,0.58624475
214.5454,0.5840579166666666
215.0275,0.5820848499999999
